Date,GDP,GDP per capita,Consumer_Confidence_Index,Population,US_Bonds_Rate_1y,Consumer_Price_Index,US_Trade_Balance,AAA_Bond_Rate,US_Debt,Credit_Card_Transactions,Corporate_Profits,Unemployment_Rate,BAA_Bond_Rate,US_Market_Cap,Effective_Rate,Market_Stress,US_Bonds_Rate_10y,PMI_Manufacturing,Money_Velocity,House_DEM,House_REP,Senate_DEM,Senate_REP,President_DEM,President_REP,Composite_VIX,DJI_close,DJI_volume,IXIC_close,IXIC_volume,SPX_close,SPX_volume
2014-11-01,17141.235,53464.0,100.477529906753,319471.435,0.13,236.983,0.02,3.92,101.61828,2408800.0,1879.109,5.8,4.79,102.260186762185,0.09,-0.4584,2.33,12284.0,6.144,0,1,1,0,1,0,13.329999923706056,17828.24,9398253254,4791.63,1,2067.56,63600190000
2014-12-01,17141.235,53464.0,100.877854825506,319651.541,0.21,236.252,0.03,3.79,101.61828,2380000.0,1879.109,5.6,4.74,101.376529366506,0.12,-0.2542,2.21,12292.0,6.144,0,1,1,0,1,0,19.200000762939453,17823.07,10098753270,4736.05,1,2058.9,80743820000
2015-01-01,17280.647,53806.0,101.147571592155,319832.19,0.2,234.747,0.03,3.46,100.89325,2349800.0,1770.989,5.7,4.45,100.079093658786,0.11,-0.0164,1.88,12292.0,6.036,0,1,0,1,1,0,20.969999313354492,17164.95,10054548542,4635.24,1,1994.99,77330040000
2015-02-01,17280.647,53806.0,101.149907577671,319976.213,0.22,235.342,0.02,3.61,100.89325,2340250.0,1770.989,5.5,4.51,102.775583333294,0.11,-0.2961,1.98,12301.0,6.036,0,1,0,1,1,0,13.34000015258789,18132.7,9633104055,4963.53,1,2104.5,68775560000
2015-03-01,17280.647,53806.0,101.051376274304,320130.646,0.25,235.976,0.03,3.64,100.89325,2326500.0,1770.989,5.4,4.54,102.253724402852,0.11,-0.2363,2.04,12312.0,6.036,0,1,0,1,1,0,15.289999961853027,17776.12,10352318189,4900.88,1,2067.89,76675850000
2015-04-01,17380.875,54021.0,100.995517027139,320300.314,0.23,236.222,0.02,3.52,99.77075,2281500.0,1789.321,5.4,4.48,103.848803269392,0.12,-0.3763,1.94,12318.0,6.068,0,1,0,1,1,0,14.550000190734863,17840.52,10054965004,4941.42,1,2085.51,72060940000
2015-05-01,17380.875,54021.0,100.913493641527,320480.147,0.24,237.001,0.02,3.98,99.77075,2260400.0,1789.321,5.6,4.89,104.406813949143,0.12,-0.3671,2.2,12333.0,6.068,0,1,0,1,1,0,13.84000015258789,18010.68,9714153001,5070.03,1,2107.39,65187730000
2015-06-01,17380.875,54021.0,100.927872304501,320667.889,0.28,237.657,0.02,4.19,99.77075,2273750.0,1789.321,5.3,5.13,103.163231235861,0.13,-0.3009,2.36,12334.0,6.068,0,1,0,1,1,0,18.229999542236328,17619.51,10094355880,4986.87,1,2063.11,73213980000
2015-07-01,17437.08,54081.0,100.810790795865,320870.703,0.3,238.034,0.03,4.15,99.146,2244750.0,1732.347,5.2,5.2,101.693840575468,0.13,-0.1738,2.32,12349.0,6.026,0,1,0,1,1,0,12.119999885559082,17689.86,9914594872,5128.28,1,2103.84,77920590000
2015-08-01,17437.08,54081.0,100.617428391073,321093.062,0.38,238.033,0.07,4.04,99.146,2254000.0,1732.347,5.1,5.19,98.640141647424,0.14,0.0887,2.17,12345.0,6.026,0,1,0,1,1,0,28.43000030517578,16528.03,10607877649,4776.51,1,1972.18,84626790000
2015-09-01,17437.08,54081.0,100.443171499948,321316.348,0.37,237.498,0.02,4.07,99.146,2243000.0,1732.347,5.0,5.34,93.2241225825274,0.14,0.1954,2.17,12354.0,6.026,0,1,0,1,1,0,24.5,16284.7,10605818001,4620.16,1,1920.03,79989370000
2015-10-01,17462.579,54045.0,100.473009723501,321539.88,0.26,237.733,0.02,3.95,103.21895,2207600.0,1635.297,5.0,5.34,96.7003099591045,0.12,0.1235,2.07,12362.0,5.973,0,1,0,1,1,0,15.06999969482422,17663.54,10487009271,5053.75,1,2079.36,85844900000
2015-11-01,17462.579,54045.0,100.591924548852,321741.248,0.48,238.017,0.12,4.06,103.21895,2208500.0,1635.297,5.1,5.46,97.660672750338,0.12,-0.0327,2.26,12357.0,5.973,0,1,0,1,1,0,16.1299991607666,17719.92,10180388286,5108.67,1,2080.41,75943590000
2015-12-01,17462.579,54045.0,100.690972604265,321926.178,0.65,237.761,0.23,3.97,103.21895,2203750.0,1635.297,5.0,5.46,95.553662635809,0.24,0.2835,2.24,12362.0,5.973,0,1,0,1,1,0,18.209999084472656,17425.03,10403218383,5007.41,1,2043.94,83649260000
2016-01-01,17565.465,54267.0,100.704334377433,322114.094,0.54,237.652,0.26,4.0,104.55696,2207600.0,1696.75,4.8,5.45,89.2078130860903,0.34,0.6024,2.09,12383.0,5.895,0,1,0,1,1,0,20.200000762939453,16466.3,10724475576,4613.95,1,1940.24,92409770000
2016-02-01,17565.465,54267.0,100.666229703695,322277.451,0.53,237.336,0.31,3.96,104.55696,2200500.0,1696.75,4.9,5.34,88.2409879355244,0.38,0.6959,1.78,12365.0,5.895,0,1,0,1,1,0,20.549999237060547,16516.5,10373476220,4557.95,1,1932.23,93049560000
2016-03-01,17565.465,54267.0,100.625572818885,322428.943,0.66,238.08,0.29,3.82,104.55696,2167250.0,1696.75,5.0,5.13,94.195068657885,0.36,0.1327,1.89,12342.0,5.895,0,1,0,1,1,0,13.949999809265137,17685.09,10289565734,4869.85,1,2059.74,92639420000
2016-04-01,17618.581,54334.0,100.648085446078,322596.809,0.56,238.992,0.23,3.62,104.13706,2149000.0,1758.389,5.1,4.79,96.8375180231924,0.37,0.1037,1.81,12353.0,5.767,0,1,0,1,1,0,15.699999809265137,17773.64,9976167910,4775.36,1,2065.3,81124990000
2016-05-01,17618.581,54334.0,100.772973310748,322773.714,0.59,239.557,0.27,3.65,104.13706,2169750.0,1758.389,4.8,4.68,96.8365814493761,0.37,0.0607,1.81,12332.0,5.767,0,1,0,1,1,0,14.1899995803833,17787.2,9760784534,4948.05,1,2096.96,78883600000
2016-06-01,17618.581,54334.0,100.750469600301,322960.309,0.55,240.222,0.27,3.5,104.13706,2156750.0,1758.389,4.9,4.53,97.5245885748296,0.38,0.2143,1.64,12350.0,5.767,0,1,0,1,1,0,15.630000114440918,17929.99,10231844682,4842.67,1,2098.86,86852700000
