Date,open,high,low,close,Volume,Volume MA
1988-01-01T14:30:00Z,335.1,349.7,329,344.7,NaN,NaN
1988-02-01T14:30:00Z,346.2,367,343.5,367,NaN,NaN
1988-03-01T14:30:00Z,367.4,382.6,366.7,374.6,NaN,NaN
1988-04-01T14:30:00Z,373.7,384.3,369.8,379.2,NaN,NaN
1988-05-02T13:30:00Z,379,383.1,362.4,370.3,NaN,NaN
1988-06-01T13:30:00Z,372.7,394.8,372.7,394.7,NaN,NaN
1988-07-01T13:30:00Z,394.2,397.5,382.1,387.3,NaN,NaN
1988-08-01T13:30:00Z,387.6,389.5,372.2,376.6,NaN,NaN
1988-09-01T13:30:00Z,374.2,388.4,372.2,387.7,NaN,NaN
1988-10-03T13:30:00Z,384.7,388.9,380.7,382.5,NaN,NaN
1988-11-01T14:30:00Z,382.7,383.1,364,371.5,NaN,NaN
1988-12-01T14:30:00Z,372.1,381.4,371.2,381.4,NaN,NaN
1989-01-02T14:30:00Z,378.9,401.4,376.9,401.3,NaN,NaN
1989-02-01T14:30:00Z,401.8,410.1,398.2,399.7,NaN,NaN
1989-03-01T14:30:00Z,401,409.8,397.8,406.7,NaN,NaN
1989-04-03T13:30:00Z,407,427.6,406.5,427.6,NaN,NaN
1989-05-01T13:30:00Z,425.9,446.2,425.8,446.2,NaN,NaN
1989-06-01T13:30:00Z,446.8,454.6,431.7,435.3,NaN,NaN
1989-07-03T13:30:00Z,434.5,453.8,434.4,453.8,NaN,NaN
1989-08-01T13:30:00Z,455.2,469.4,452.4,469.3,NaN,NaN
1989-09-01T13:30:00Z,469.9,474.6,464.9,472.9,NaN,NaN
1989-10-02T13:30:00Z,472.8,487.5,447.1,455.6,NaN,NaN
1989-11-01T14:30:00Z,456.2,457.8,446.8,456.1,NaN,NaN
1989-12-01T14:30:00Z,456.6,459.4,431.8,454.8,NaN,NaN
1990-01-01T14:30:00Z,452.9,461.6,410,415.8,NaN,NaN
1990-02-01T14:30:00Z,416.8,430.9,416.2,425.8,NaN,NaN
1990-03-01T14:30:00Z,425.3,443.3,424.5,435.5,NaN,NaN
1990-04-02T13:30:00Z,431.6,438.5,417,420.1,NaN,NaN
1990-05-01T13:30:00Z,422,460,420.7,459,NaN,NaN
